"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","4.59059139746358","8.22628941285166","8.31353690672405","3.92410661134615","-0.0500486881633151","5.3503740481333","10.1667786038668","7.64379359742537","11.551603001262","6.69029249243683","5.12129581147913","4.84999125566688","2.15497355156189","0.82401782654135","-0.573906707339162","3.18973940570983","4.41104828927597","-6.40127325034092","4.32150340056812","3.21914734248926","2.55727791997941","1.69412212476252","4.80818736357038","-6.42631900770876","-0.373294900966243","4.71379508055276","4.37289998190874","4.93766625243637","11.0397061711986","7.54041746568093","-1.63509230991274","-13.4743650156031","-8.92040249912563","-3.30423349856939","2.05110582991782","-1.80323259487324","2.62278049551703","2.71120684663117","4.42525495026875","2.1738184581005","6.4300264671072","",
"Australia","AUS","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","0.466742143879657","-1.14643609721574","4.19702516853508","4.89969928446953","3.92680397600387","0.0714475059460113","4.96911840174886","3.25808121844418","4.82705594982275","5.08137642021076","0.546847805191206","2.02003752544454","1.05655390636423","1.50153236429362","0.10981623635378","1.56417525983414","2.43685557286391","-0.269733362610125","2.92521904983241","1.78576545617655","1.71108011582378","1.61964910536163","-3.43562454136811","3.40385555894454","3.81991373430657","2.34598599585875","1.00526608699838","4.02466918224104","2.12152388923137","2.04908201949108","-1.6586900011286","-0.79850510873662","3.01661315834043","2.88783404568591","2.58924499499122","2.52276734429178","2.80987849293575","3.49241829793357","3.87994577617327","2.70128931837841","0.565713355691713","2.73968940200891","1.72290634344677","2.85614767681814","1.85103126483629","1.2892596739831","3.19763845544081","1.60126223678816","-0.142541245499331","0.492100955776877","1.04888379967608","2.1196825044921","0.834341933212656","1.01511499278639","0.732399751351792","1.17791143324995","0.657653883814675","1.3318775475184","",
"Austria","AUT","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","4.96071718349175","2.02146966677637","3.47146615932408","5.41933601415172","2.81001278561553","4.90447900377782","2.24100975848387","3.9312418288779","5.909495926435","5.95049653114532","4.64694281723956","5.59238137553804","4.310905934556","3.76537310177653","-0.0990303521918037","4.7633698107427","5.0396478204632","-0.129830302876016","5.53644786489032","1.73137761568496","-0.398620288126395","1.93812115712639","3.13962803003997","0.05757358727152","2.4505656659566","2.23640192196109","1.29304522971934","3.14974682630114","3.42010173307925","3.55354779021329","2.41398612960838","0.976092331912298","-0.298754100730903","2.00876163676821","2.51091282413248","2.21143493269341","1.97797590805702","3.46782994124915","3.35504466142362","3.12743665014771","0.88025909788611","1.15267633135774","0.450946527234535","2.09971116889712","1.54987731693588","2.94341785870446","3.39173082681461","1.14330711888604","-4.01634004211772","1.59257712849987","2.57644831811446","0.222450576943075","-0.562298942527448","-0.122370667337563","-0.111540189504495","0.98463828322204","1.76708743764632","1.84705120008107","",
"Azerbaijan","AZE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.22958345594002","-23.7638309850698","-24.2593989196874","-20.7781368190757","-12.8099672041068","0.282171311174181","4.78428221806075","8.96088830209368","6.46158237831966","10.1910296245971","9.05182230102884","8.62535113851204","9.37646097029305","8.30153801248458","26.6600947307444","32.9970663204962","24.0486789316635","8.29339079060378","7.12223873867465","3.54945565734806","-2.84718295295991","0.85388605157209","4.48247007657503","1.52213919218541","-0.145834453695798","-4.14176979774351","-1.2557206009697","0.512193852983529","",
"Burundi","BDI","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","-15.394322732322","7.00431637670715","2.12936828434896","4.1006192175378","1.67952121806623","2.10164622639282","10.9270840480282","-2.79897658165822","-3.68143985547809","19.0529987627329","1.26462440397977","-7.44407935251843","5.83769058831601","-1.85135772573639","-0.783592555095126","5.93914115670782","9.05251673600462","-3.31897077040919","-0.893912823447437","-1.58550129205348","9.29191969137261","-3.61109620261327","0.998593404922076","-2.52265221211886","8.73064878754685","0.378672988934653","2.55666672311099","2.15444078581417","-1.29297933062804","0.99007908775603","2.62010286872328","-1.13327941994947","-8.05903733682763","-5.47518624327914","-9.27459827198631","-9.10926284810168","-2.58692260225784","3.67580463504818","-2.29828189107781","-2.59368363230537","-0.238090711953845","1.66452482498396","-4.15508331796791","1.56240403268357","-2.29445932504477","2.0469967946142","0.104987385930926","1.45642129201431","0.455622978469933","1.75637635285388","0.748442778960595","1.19805667252835","1.68746987596798","1.02152974753199","-6.88640571719623","-3.70833606243559","-2.6469412215971","-1.55740735383216","",
"Belgium","BEL","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","4.63025713410768","4.79403451766454","3.57435354079992","5.9491393563053","2.62444466112051","2.46146245343786","3.29157574176963","3.78504436430799","6.32828364655947","5.48774486800549","3.7964887584582","4.88408794633921","6.04748880290525","4.23677759049939","-2.24882961447862","5.46413992757864","0.501978683489639","2.7459898773847","2.24912759856399","4.32900842256028","-0.276653781038334","0.622329217330659","0.319812326217516","2.46792137567107","1.62151892864972","1.78646998394723","2.21947793882644","4.39079506129517","3.093998947527","2.83026812085834","1.45537172787733","1.11956575279089","-1.34799949124044","2.90931871085137","2.17055020136523","1.12369652224427","3.54277632683882","1.74435630499947","3.30569734823307","3.46545030511354","0.752480190880306","1.25198916023295","0.615850407976779","3.12391751574548","1.76045591851488","1.8781869981259","2.91837518224168","-0.343464812108124","-2.80590363311177","1.9287568820322","0.380018329951753","0.11641512246463","-0.0131624623842725","1.12858585492231","1.44327342388083","0.998454175156894","1.57215372315021","1.0417195307113","",
"Benin","BEN","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","1.70889454767367","-4.85516414213974","3.08411441596759","4.87297495582806","3.43822948129615","1.65264017527787","-0.88559101885042","1.74870506090441","0.745684799067519","-0.0645200373893431","-3.62245977251233","4.08371023034096","1.37110085676298","0.948679615926309","-7.16006168603386","-1.5873785591411","2.34592333257122","-1.34527512594933","3.75091091019009","3.94819409288847","6.99066096594554","-0.565306047063771","-7.00516373441161","4.89536528238699","4.4721264192053","-0.75179112082111","-4.33987444407201","0.360547047426849","-5.82020258507337","5.50710721399892","0.764700702498217","-0.562599754177057","2.19519016775014","-1.41568360386674","2.60937154743333","1.09401490092435","2.58064435922887","0.930263030283001","2.27747144791282","2.74780021602182","2.19312213021186","1.50801646877987","0.346990896980074","1.3378533355849","-1.24744247827034","0.978319651314209","3.00432919326484","1.96969488000025","-0.505433088993129","-0.715273205168543","0.11605829820877","1.92472037239352","4.23970812687595","3.43371285532312","-0.695138395049582","1.13324063389516","2.96688150864692","3.97518359608362","",
"Burkina Faso","BFA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","2.65601805465143","4.72212833180672","-2.59342458325051","0.857187825095124","2.2410230200139","-1.02109047351433","7.05835902371609","1.34430408124766","0.288794716707727","-1.59934843891708","-0.336973635003389","0.523656203374514","-1.3343921789148","6.32226029331346","1.08211989543663","6.46779659734523","-1.5887312613707","2.49536431800945","1.4762871163138","-1.43667358167386","1.83268056537125","6.91285423074284","-2.15073659271842","-4.26104265401855","5.75574175288571","5.19495561340754","-2.80245825696936","3.05797237077611","-0.510909235795083","-3.21121444317946","6.18899686056889","-2.43052311521696","0.695587916525355","-1.41083893844271","2.85298663713066","7.9873477889986","3.39812100694439","4.34171011162378","4.41531646794715","-1.03264256285028","3.60861856996422","1.39456596350325","4.72270753211393","1.4641414001655","5.49346370563578","3.12418158942872","2.52031350933548","4.09748588345262","-0.107397986479583","2.23943499739836","3.46627147455733","3.30923981741063","2.68483140830034","1.28209364611807","0.885054448301091","2.86309748601946","3.3195139267073","3.81291202224394","",
"Bangladesh","BGD","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.15904878142594","2.56630888889948","-3.22061599237695","7.77397291054108","-1.40861909675201","-0.613934046805582","-4.9950577142145","6.10295020329747","-1.62346370673451","3.06666214529099","-7.35333262510314","-15.3863806911148","1.77997759303928","7.8307891457096","-5.90069348249939","3.32246653454223","0.141710082241246","4.25479836074474","1.9912819029862","-1.85256474309651","4.44314828187049","-0.499719453954711","1.21551714194426","2.10782449778249","0.669020607515705","1.46426835675177","1.07853905977662","-0.207285396718291","0.274083216745254","3.08698402350078","1.10664428897979","3.11422122259933","2.46558052677466","1.69041560413505","2.90124604682065","2.31962811240169","2.30668705583814","3.0146795128333","2.57420902747467","3.25749967913609","3.11380508371251","1.96038247387588","2.94185326595833","3.55336023330524","4.9658429129363","5.24453135143487","5.75342068854268","4.80617034598272","3.87850140942676","4.3909803668064","5.25309562973739","5.29824495849087","4.79440164181352","4.85610832403805","5.36878342333158","5.95091457759985","6.14210394847194","6.73701752220683","",
"Bulgaria","BGR","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","4.55114422929729","2.03229416461932","3.17252088070306","3.1548073666586","2.68495339474475","4.23524126936128","5.89861249444547","10.8200908463929","-2.15169070485979","-7.4632076545484","-7.53406889133126","-6.27126380423573","-0.691213532221596","2.1643587744671","3.3193489686016","1.22538636955616","-0.484814882930209","7.06102173661034","-7.89318403891862","5.2844853542843","5.85659835292871","8.26224087716822","5.99248289982523","7.24176871485913","7.93317140797711","7.68916579193385","8.1366152859423","6.76869306309271","-2.96296376384251","1.99327953842283","2.57051342984499","0.612051095387244","1.05790955605502","2.41800281989239","4.13351489936093","4.66831446724521","4.57230650133613","3.84031545793022","",
