"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","999955343761.38","1049401364937.31","1068304805149.63","1144634971885.03","1231442294795.62","1312793515835.91","1366342193097.55","1437088351369.35","1458176526374.62","1486151600523.49","1586043508308.84","1643360076848.64","1720327230521.04","1772265810249.64","1924809110102.18","2048320612719.04","2193917111168.54","2389597034616.99","2560176411867.61","2576448351918.06","2802691410580.3","2974954665057.21","3090259269530.33","3238978428233.49","3316888410241.38","3233486995940.66","3160798927345.37","3255143439356.75","3371702373241.36","",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2505443362.11861","2489157066.39746","2400957775.13675","2477335561.92127","2581113601.62085","2688308782.88159","2846389902.90437","3032721169.96902","3181201681.10999","3237931752.10624","3457530867.99665","3449788641.37569","3531949477.23224","3675804957.2301","3828049961.17567","4103424952.49386","4467239489.88244","4672495916.8066","4806838227.20105","4608125901.42176","4560642300.9768","4618909123.11545","4704350307.2792","4721355515.5368","4802533020.69079","4960911150.44716","5129456131.20321","5217909570.73268","5318374171.63194","",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14219219968.7589","15162535119.9727","16246039708.9676","16681607297.5395","17573730027.6882","18745801084.8038","19638485783.0523","19683232218.9086","19793601111.3564","20692236086.5249","21757595387.3383","22844964797.4664","24104889135.1347","25265534701.1699","26076585574.6112","26993052436.1125","29032919656.1839","29858910044.714","29849261766.4158","29546101473.2181","30667228516.463","32480415591.3426","33405522009.5315","33269086248.4019","33101972264.6573","33266312257.7818","32800933005.3589","33868483280.0867","34711625923.6291","",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810706506.517748","834704118.034243","893005278.474747","932321706.315031","999380024.365079","1092515055.5821","1174432967.84939","1258885216.19281","1348343046.01948","1477016074.17245","1560697059.55349","1729607729.66819","1947753950.50385","2138741355.77635","2326363145.15484","2574726784.77401","2838554709.77617","3444729111.80617","3675310551.28477","3949661802.31347","4467468529.81705","4920467591.26091","5271474987.84066","5477981871.18785","5830322468.94204","6336595998.14713","6919360905.69905","7351751579.90518","7670628444.7596","",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7099010654.49503","7886482616.76221","8301505298.0247","8661025674.52474","9166895788.21407","10017093963.9589","10795179387.1151","11895624092.4121","12082882322.73","13442281511.5135","14015944948.5057","14359264869.6135","15471720120.6276","16488041520.4392","17390082539.4535","18748860966.197","20931825266.7947","23273129382.558","25207603788.423","23456104459.0514","25761527574.9386","27890347804.021","29691918901.6588","33640174364.3542","35698845804.3772","35467952448.7775","37398943172.7998","39217868583.1539","41962343769.8189","",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1789778509.64397","1840080718.14432","1761112390.41908","1808882556.60901","1938036058.96397","2121138791.62647","2073576389.35243","2221126252.4203","2351696577.89149","2471533271.11233","2463881190.16199","2630343346.17011","2768581312.32487","2667787608.63889","2903846564.49128","3021494255.51474","3261451445.70268","3503372377.33738","3644881234.23837","3988049550.40016","4221351630.14049","4490299877.39254","4807698240.61352","3111748556.99661","3173189894.5596","3346218904.65218","3543504883.54738","3774332662.53983","4012783796.96728","",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558639235991.033","565254822328.46","583241220049.607","612913183089.178","654130180279.828","685729009928.918","709534832506.255","752658535833.924","790676663567.942","843508200300.636","898020479483.858","933966675428.964","967558830682.98","1019730451626.06","1079498291362.09","1167581267653.45","1237673297916.9","1297136794657.57","1339060588630.82","1304713188102.99","1360616928113.19","1427466965184.4","1464565119752.66","1550271241830.07","1617561717808.96","1591202432043.49","1625347343803.71","1707282552959.01","1783652225328.18","",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","785684234422.848","734719960277.703","735912667396.22","765319695593.783","813285418067.391","875057918790.406","917445304296.133","950269121827.412","991557654753.101","1022539748465.22","1084275818552.58","1160818277855.44","1241446998085.43","1311654555452.75","1429699184505.73","1514532674534.27","1679469744395.12","1867225519738.07","2063307928181.1","2061657022046.86","2165674297189.18","2307897587062.97","2387440893901.68","2486039560344.2","2585696243840.51","2692986475706.62","2817932233319.77","3046329230167.06","3199828560341.9","",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185312275839.254","189824592467.693","194065583214.187","198413237030.893","205223343817.04","210534274665.007","215988848854.975","225515813359.192","234050970142.026","241567729954.361","256869608680.119","265899647365.647","274768388545.761","276778221600.779","289451849559.66","301740596769.259","337573445431.076","375640806617.571","402150900606.745","400890621598.084","415250116118.155","444548757851.532","462614986499.979","486238615990.985","506894811123.135","529568029941.981","538605967538.907","561167154461.732","579643931032.338","",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
